Isolate ID,Sample ID,Genus,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,SRA Run Accession,WGS Acession,Phylogroup,State,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
L7-0964,IL-CL-2,Listeria,L. welshimeri,249,35,2737260,36.25,1441163,316.114,PRJNA561882,SRR11343946,JAARVJ000000000,L8,IL,40.152,-88.8781,214.09,0.1504,0.2522,3.8284,7.22,5.03,6.24,3902.11,0.16,2.0,212.81,659.44,14.93,0.03,36.14,16.87,10.67,3.29,49.15,0.2426,-9.4439,4.0189,9.3641,3.0718,4.4097,0.1148,13.3768,0.2695,0.6736,4.6049,63.8395,0.2752
L7-0970,IL-CL-4,Listeria,L. seeligeri,24,41,2978376,37.18,342068,90.0977,PRJNA561882,SRR11343945,JAARVI000000000,L9,IL,40.1371,-88.8627,211.98,0.0599,0.1349,2.8263,7.8,2.62,4.89,5748.97,0.06,1.32,130.79,469.05,20.24,0.03,28.55,76.18,8.86,0.56,49.6,0.2294,-9.3687,4.0211,11.2472,2.8273,4.0297,0.1154,11.5364,0.0607,0.7957,5.0174,64.1038,0.2665
L7-0973,IL-CL-4,Listeria,L. monocytogenes,62,15,3016293,37.83,474161,64.032,PRJNA514286,SRR9206874,AAFFKQ000000000,L1,IL,40.1371,-88.8627,211.98,0.0599,0.1349,2.8263,7.8,2.62,4.89,5748.97,0.06,1.32,130.79,469.05,20.24,0.03,28.55,76.18,8.86,0.56,49.6,0.2294,-9.3687,4.0211,11.2472,2.8273,4.0297,0.1154,11.5364,0.0607,0.7957,5.0174,64.1038,0.2665
L7-0976,IL-CL-4,Listeria,L. seeligeri,12,27,2848091,37.26,319177,54.3355,PRJNA561882,SRR11343944,JAARVH000000000,L9,IL,40.1371,-88.8627,211.98,0.0599,0.1349,2.8263,7.8,2.62,4.89,5748.97,0.06,1.32,130.79,469.05,20.24,0.03,28.55,76.18,8.86,0.56,49.6,0.2294,-9.3687,4.0211,11.2472,2.8273,4.0297,0.1154,11.5364,0.0607,0.7957,5.0174,64.1038,0.2665
L7-0978,GA-CNF-1,Listeria,L. booriae,S5047,38,3627270,41.88,190692,155.747,PRJNA561882,SRR11343943,JAARVG000000000,L12,GA,34.654,-84.0867,850.16,0.664,0.4491,10.5093,4.35,12.51,605.2,136.14,0.7,129.77,74.17,52.2,24.64,0.07,38.11,13.28,43.12,2.8,224.15,7.2965,-2.2035,3.5506,0.0617,4.8349,0.1144,0.0036,92.5623,0.1702,0.3249,1.9028,0.0078,0.0174
L7-0979,GA-CNF-1,Listeria,L. booriae,S5048,289,3749367,41.62,560064,91.1713,PRJNA561882,SRR11343942,JAARVF000000000,L12,GA,34.654,-84.0867,850.16,0.664,0.4491,10.5093,4.35,12.51,605.2,136.14,0.7,129.77,74.17,52.2,24.64,0.07,38.11,13.28,43.12,2.8,224.15,7.2965,-2.2035,3.5506,0.0617,4.8349,0.1144,0.0036,92.5623,0.1702,0.3249,1.9028,0.0078,0.0174
L7-0983,GA-CNF-1,Listeria,L. monocytogenes,250,36,2986695,37.78,254321,48.478,PRJNA514286,SRR9206846,AAFFJR000000000,L2,GA,34.654,-84.0867,850.16,0.664,0.4491,10.5093,4.35,12.51,605.2,136.14,0.7,129.77,74.17,52.2,24.64,0.07,38.11,13.28,43.12,2.8,224.15,7.2965,-2.2035,3.5506,0.0617,4.8349,0.1144,0.0036,92.5623,0.1702,0.3249,1.9028,0.0078,0.0174
L7-0984,GA-CNF-2,Listeria,L. booriae,S5049,15,3718859,41.77,676148,63.1189,PRJNA561882,SRR11343941,JAARVE000000000,L12,GA,34.6564,-84.0914,893.19,0.9223,0.7211,13.6584,4.79,12.32,307.26,871.9,0.4,57.35,155.54,229.14,50.9,0.05,53.32,5.91,61.02,4.13,224.15,7.2965,-2.2035,3.5506,0.0649,4.4526,0.1031,0.0036,93.1265,0.2101,0.2934,1.7207,0.0078,0.0174
L7-0990,GA-CNF-4,Listeria,L. booriae,S5050,19,3843235,41.62,389890,44.6112,PRJNA561882,SRR11343940,JAARVD000000000,L12,GA,34.6565,-84.1015,846.85,0.5938,0.3827,8.7697,4.4,12.27,482.75,126.52,0.31,172.04,90.57,70.15,16.39,0.07,37.19,9.14,31.22,3.11,224.15,7.2965,-2.2035,3.5506,0.0674,3.9988,0.093,0.0036,93.9014,0.2626,0.2741,1.3749,0.0076,0.0166
L7-0993,GA-CNF-5,Listeria,L. cossartiae,251,29,2817180,38.61,335203,95.841,PRJNA561882,SRR11343939,JAASUV000000000,-,GA,34.6575,-84.106,816.3,0.565,0.3564,6.6224,4.74,10.59,277.59,487.89,0.24,32.73,105.81,140.48,54.07,0.05,39.81,9.27,25.37,4.17,224.15,7.2965,-2.2035,3.5506,0.0646,3.8759,0.0896,0.0036,94.2226,0.1983,0.2512,1.2704,0.0076,0.0162
L7-0994,GA-CNF-5,Listeria,L. booriae,S5051,42,3684869,41.79,237775,53.0966,PRJNA561882,SRR11343938,JAARVC000000000,L12,GA,34.6575,-84.106,816.3,0.565,0.3564,6.6224,4.74,10.59,277.59,487.89,0.24,32.73,105.81,140.48,54.07,0.05,39.81,9.27,25.37,4.17,224.15,7.2965,-2.2035,3.5506,0.0646,3.8759,0.0896,0.0036,94.2226,0.1983,0.2512,1.2704,0.0076,0.0162
L7-0999,SD-OL-2,Listeria,L. seeligeri,24,32,2899581,37.11,188421,89.5841,PRJNA561882,SRR11343937,JAARVB000000000,L9,SD,44.4425,-96.9851,499.71,0.1897,0.3752,4.4737,7.43,5.87,1.74,4667.34,0.03,0.57,275.95,383.13,10.6,0.03,26.38,12.18,10.68,0.34,5.35,-5.5703,-17.0316,3.8632,11.6855,3.3172,0.2533,0.0403,1.46,0.0214,5.8839,24.4242,47.306,5.6081
L7-1000,SD-OL-2,Listeria,L. seeligeri,121,33,2875961,37.17,188912,95.3982,PRJNA561882,SRR11343935,JAARVA000000000,L9,SD,44.4425,-96.9851,499.71,0.1897,0.3752,4.4737,7.43,5.87,1.74,4667.34,0.03,0.57,275.95,383.13,10.6,0.03,26.38,12.18,10.68,0.34,5.35,-5.5703,-17.0316,3.8632,11.6855,3.3172,0.2533,0.0403,1.46,0.0214,5.8839,24.4242,47.306,5.6081
L7-1005,SD-OL-3,Listeria,L. welshimeri,27,13,2819132,36.19,540747,127.675,PRJNA561882,SRR11343934,JAARUZ000000000,L8,SD,44.4435,-96.987,496.95,0.1868,0.3145,3.7245,6.46,5.32,2.78,3067.64,0.02,0.9,312.71,470.28,9.4,0.02,24.61,14.76,10.88,0.45,5.35,-5.5703,-17.0316,3.8632,11.9326,3.211,0.2462,0.0415,1.5609,0.0214,5.9728,24.1722,47.216,5.6252
L7-1011,SD-OL-4,Listeria,L. welshimeri,129,25,2778058,36.16,374599,91.7718,PRJNA561882,SRR11343933,JAARUY000000000,L8,SD,44.4558,-96.9907,498.74,0.3235,0.4692,5.7416,6.99,8.15,1.68,5238.27,0.03,0.65,510.65,630.22,14.48,0.03,30.33,52.37,13.88,0.81,5.35,-5.5703,-17.0316,3.8632,11.3997,3.5087,0.28,0.039,1.6017,0.0206,6.1128,23.9954,47.6509,5.3912
L7-1013,SD-OL-4,Listeria,L. welshimeri,16,10,2755415,36.2,1462474,168.189,PRJNA561882,SRR11343932,JAARUX000000000,L8,SD,44.4558,-96.9907,498.74,0.3235,0.4692,5.7416,6.99,8.15,1.68,5238.27,0.03,0.65,510.65,630.22,14.48,0.03,30.33,52.37,13.88,0.81,5.35,-5.5703,-17.0316,3.8632,11.3997,3.5087,0.28,0.039,1.6017,0.0206,6.1128,23.9954,47.6509,5.3912
L7-1014,SD-OL-4,Listeria,L. welshimeri,27,15,2866603,36.15,371990,170.436,PRJNA561882,SRR11343931,JAARUW000000000,L8,SD,44.4558,-96.9907,498.74,0.3235,0.4692,5.7416,6.99,8.15,1.68,5238.27,0.03,0.65,510.65,630.22,14.48,0.03,30.33,52.37,13.88,0.81,5.35,-5.5703,-17.0316,3.8632,11.3997,3.5087,0.28,0.039,1.6017,0.0206,6.1128,23.9954,47.6509,5.3912
L7-1017,IL-KS-1,Listeria,L. booriae,S5052,96,3722252,41.6,683582,81.5936,PRJNA561882,SRR11343930,JAARUV000000000,L12,IL,40.1373,-87.7418,184.14,0.2387,0.2188,3.6787,6.44,5.03,12.65,2372.76,0.05,4.27,133.47,354.74,33.05,0.03,28.72,6.32,11.14,1.75,60.45,0.8294,-9.2187,4.0407,4.0911,6.4926,7.645,0.067,29.0325,0.0464,2.0405,5.495,44.079,1.0108
L7-1018,IL-KS-1,Listeria,L. monocytogenes,62,13,2919775,37.93,482559,54.1232,PRJNA514286,SRR9206871,AAFFKK000000000,L1,IL,40.1373,-87.7418,184.14,0.2387,0.2188,3.6787,6.44,5.03,12.65,2372.76,0.05,4.27,133.47,354.74,33.05,0.03,28.72,6.32,11.14,1.75,60.45,0.8294,-9.2187,4.0407,4.0911,6.4926,7.645,0.067,29.0325,0.0464,2.0405,5.495,44.079,1.0108
L7-1021,IL-KS-2,Listeria,L. seeligeri,12,25,2820852,37.24,223393,86.4379,PRJNA561882,SRR11343929,JAARUU000000000,L9,IL,40.1407,-87.7397,185.94,0.2103,0.1498,2.295,7.48,2.99,6.54,5536.79,0.08,1.92,88.21,293.17,36.7,0.03,28.32,10.35,8.6,1.3,60.45,0.8294,-9.2187,4.0407,4.587,6.4498,7.7727,0.0663,29.4687,0.0464,1.8831,5.5361,43.1331,1.0568
L7-1025,IL-KS-2,Listeria,L. monocytogenes,195,30,2876304,38.06,208846,60.7202,PRJNA514286,SRR9206864,AAFFKR000000000,L1,IL,40.1407,-87.7397,185.94,0.2103,0.1498,2.295,7.48,2.99,6.54,5536.79,0.08,1.92,88.21,293.17,36.7,0.03,28.32,10.35,8.6,1.3,60.45,0.8294,-9.2187,4.0407,4.587,6.4498,7.7727,0.0663,29.4687,0.0464,1.8831,5.5361,43.1331,1.0568
L7-1026,IL-KS-2,Listeria,L. monocytogenes,90,15,2821882,38.12,367847,82.4937,PRJNA514286,SRR9206860,AAFFKG000000000,L1,IL,40.1407,-87.7397,185.94,0.2103,0.1498,2.295,7.48,2.99,6.54,5536.79,0.08,1.92,88.21,293.17,36.7,0.03,28.32,10.35,8.6,1.3,60.45,0.8294,-9.2187,4.0407,4.587,6.4498,7.7727,0.0663,29.4687,0.0464,1.8831,5.5361,43.1331,1.0568
L7-1027,IL-KS-4,Listeria,L. monocytogenes,234,11,2820944,38.12,1440994,84.2218,PRJNA514286,SRR9206854,AAFFJX000000000,L1,IL,40.1429,-87.7339,185.59,0.1911,0.2344,3.4928,6.23,4.47,19.12,1882.55,0.11,5.97,100.73,256.5,15.21,0.03,57.94,19.36,9.74,18.91,60.45,0.8294,-9.2187,4.0407,4.7686,6.4308,8.4932,0.0701,30.0298,0.0699,1.8551,5.7493,41.431,1.1023
L7-1035,IL-KS-5,Listeria,L. monocytogenes,62,24,2857784,38.01,509178,62.7455,PRJNA561882,SRR10019229,VTHM00000000,L1,IL,40.1462,-87.7318,174.12,0.2211,0.1438,3.4543,7.69,4.56,5.88,13715.42,0.23,8.07,110.04,458.67,52.51,0.05,39.96,3.86,44.75,1.44,60.45,0.8294,-9.2187,4.0407,4.4083,6.3182,8.5398,0.0703,30.5856,0.0464,1.6244,6.2342,41.1178,1.055
L7-1037,IL-KS-5,Listeria,L. seeligeri,12,30,2870850,37.22,222470,253.486,PRJNA561882,SRR11343928,JAASUU000000000,L9,IL,40.1462,-87.7318,174.12,0.2211,0.1438,3.4543,7.69,4.56,5.88,13715.42,0.23,8.07,110.04,458.67,52.51,0.05,39.96,3.86,44.75,1.44,60.45,0.8294,-9.2187,4.0407,4.4083,6.3182,8.5398,0.0703,30.5856,0.0464,1.6244,6.2342,41.1178,1.055
L7-1041,SD-LH-1,Listeria,L. welshimeri,133,13,2728841,36.28,503396,126.802,PRJNA561882,SRR11343927,JAARUT000000000,L8,SD,43.9925,-97.1612,510.41,0.2564,0.3724,4.8562,7.73,5.8,1.36,8949.63,0.08,1.33,399.58,656.59,27.41,0.04,52.44,40.78,23.37,0.93,10.075,-4.961,-15.3752,3.8638,8.1685,5.355,3.1285,0.0806,1.1981,0.0038,9.4103,6.1412,63.1083,3.4055
L7-1047,SD-LH-2,Listeria,L. seeligeri,12,72,2966092,37.1,75312,74.9506,PRJNA561882,SRR11343926,JAARUS000000000,L9,SD,43.9965,-97.169,508.66,0.3664,0.4969,5.8863,6.98,8.28,2.0,5382.56,0.04,0.95,713.61,732.23,15.92,0.04,37.97,48.22,14.43,1.5,10.075,-4.961,-15.3752,3.8638,11.1294,4.7804,2.8352,0.0777,0.9138,0.0029,9.0842,5.2352,63.0274,2.9137
L7-1049,SD-LH-3,Listeria,L. ivanovii,73,24,2902494,37.04,326901,181.256,PRJNA561882,SRR11343923,JAARUR000000000,-,SD,43.9872,-97.1708,517.28,0.4185,0.5669,6.6833,6.61,8.51,3.43,5224.49,0.04,1.0,726.77,525.64,11.7,0.05,40.65,53.55,15.36,1.41,10.075,-4.961,-15.3752,3.8638,10.3612,5.2417,2.5257,0.0764,0.9988,0.0044,10.2305,5.3412,62.6777,2.5425
L7-1050,SD-LH-3,Listeria,L. seeligeri,12,82,2923231,37.12,240906,106.682,PRJNA561882,SRR11343922,JAARUQ000000000,L9,SD,43.9872,-97.1708,517.28,0.4185,0.5669,6.6833,6.61,8.51,3.43,5224.49,0.04,1.0,726.77,525.64,11.7,0.05,40.65,53.55,15.36,1.41,10.075,-4.961,-15.3752,3.8638,10.3612,5.2417,2.5257,0.0764,0.9988,0.0044,10.2305,5.3412,62.6777,2.5425
L7-1051,SD-LH-3,Listeria,L. seeligeri,24,36,2793199,37.27,153318,54.3396,PRJNA561882,SRR11343921,JAARUP000000000,L9,SD,43.9872,-97.1708,517.28,0.4185,0.5669,6.6833,6.61,8.51,3.43,5224.49,0.04,1.0,726.77,525.64,11.7,0.05,40.65,53.55,15.36,1.41,10.075,-4.961,-15.3752,3.8638,10.3612,5.2417,2.5257,0.0764,0.9988,0.0044,10.2305,5.3412,62.6777,2.5425
L7-1053,SD-LH-4,Listeria,L. seeligeri,24,42,2834893,37.19,188421,121.623,PRJNA561882,SRR11343920,JAARUO000000000,L9,SD,43.9837,-97.1715,514.2,0.3294,0.5929,6.9711,7.41,8.88,1.4,6735.55,0.04,0.71,591.32,796.96,22.5,0.04,35.68,74.74,15.15,0.82,10.075,-4.961,-15.3752,3.8638,10.1178,5.0608,2.3938,0.0811,0.9376,0.0044,10.4588,5.2567,63.268,2.4211
L7-1054,SD-LH-4,Listeria,L. seeligeri,12,53,2869455,37.21,222898,96.4037,PRJNA561882,SRR11343919,JAARUN000000000,L9,SD,43.9837,-97.1715,514.2,0.3294,0.5929,6.9711,7.41,8.88,1.4,6735.55,0.04,0.71,591.32,796.96,22.5,0.04,35.68,74.74,15.15,0.82,10.075,-4.961,-15.3752,3.8638,10.1178,5.0608,2.3938,0.0811,0.9376,0.0044,10.4588,5.2567,63.268,2.4211
L7-1059,SD-SS-1,Listeria,L. innocua,252,12,2831978,37.35,488454,54.1262,PRJNA561882,SRR11343918,JAARUM000000000,L6,MN,44.4508,-96.4044,537.86,0.3269,0.2658,3.9317,7.317,5.509,3.0875,9343.0033,0.0818,0.7211,280.7891,360.723,8.2319,0.0489,34.5135,10.3233,11.8295,0.4225,5.775,-5.5516,-16.4477,3.8219,3.7763,3.6254,0.3526,0.0306,0.9226,0.0061,17.5954,5.533,60.368,7.7899
L7-1062,SD-SS-1,Listeria,L. innocua,141,17,2798603,37.3,432332,130.473,PRJNA561882,SRR11343917,JAARUL000000000,L6,MN,44.4508,-96.4044,537.86,0.3269,0.2658,3.9317,7.317,5.509,3.0875,9343.0033,0.0818,0.7211,280.7891,360.723,8.2319,0.0489,34.5135,10.3233,11.8295,0.4225,5.775,-5.5516,-16.4477,3.8219,3.7763,3.6254,0.3526,0.0306,0.9226,0.0061,17.5954,5.533,60.368,7.7899
L7-1063,SD-SS-1,Listeria,L. booriae,S5017,111,3359205,41.71,225949,56.6972,PRJNA561882,SRR11343916,JAARUK000000000,L12,MN,44.4508,-96.4044,537.86,0.3269,0.2658,3.9317,7.317,5.509,3.0875,9343.0033,0.0818,0.7211,280.7891,360.723,8.2319,0.0489,34.5135,10.3233,11.8295,0.4225,5.775,-5.5516,-16.4477,3.8219,3.7763,3.6254,0.3526,0.0306,0.9226,0.0061,17.5954,5.533,60.368,7.7899
L7-1067,SD-SS-2,Listeria,L. innocua,252,73,2842157,37.24,579315,156.421,PRJNA561882,SRR11343915,JAARUJ000000000,L6,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1068,SD-SS-2,Listeria,L. seeligeri,248,41,2892023,37.15,118486,68.1478,PRJNA561882,SRR11343914,JAARUI000000000,L9,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1069,SD-SS-2,Listeria,L. booriae,S5040,101,3259273,41.8,68752,69.0033,PRJNA561882,SRR11343912,JAARUH000000000,L12,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1070,SD-SS-2,Listeria,L. welshimeri,16,91,2695855,36.36,50572,34.3713,PRJNA561882,SRR11343911,JAARUG000000000,L8,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1071,SD-SS-2,Listeria,L. booriae,S5053,23,3352321,41.85,295290,34.6681,PRJNA561882,SRR11343910,JAARUF000000000,L12,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1072,SD-SS-2,Listeria,L. seeligeri,72,44,2836200,37.24,131349,33.5601,PRJNA561882,SRR11343909,JAARUE000000000,L9,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1073,SD-SS-2,Listeria,L. welshimeri,27,19,2824934,36.13,371971,88.3282,PRJNA561882,SRR11343908,JAARUD000000000,L8,MN,44.4449,-96.4018,539.2,0.3833,0.3464,4.363,7.311,6.9897,3.429,5615.502,0.0681,0.5864,269.4943,592.3303,5.956,0.0462,34.0831,7.2059,9.7569,0.4584,5.775,-5.5516,-16.4477,3.8219,3.6593,3.7258,0.2769,0.0307,0.9374,0.0101,17.3291,5.6886,61.0776,7.2646
L7-1075,SD-SS-3,Listeria,L. seeligeri,248,36,2912106,37.14,188529,94.6546,PRJNA561882,SRR11343907,JAARUC000000000,L9,MN,44.4449,-96.3945,538.43,0.4749,0.2691,3.5984,7.335,6.1113,4.0643,5119.551,0.0902,1.4449,271.9061,993.0353,8.1416,0.0398,35.7018,6.8715,14.3786,0.3474,5.775,-5.5516,-16.4477,3.8219,3.7942,3.7617,0.2727,0.0315,0.857,0.0069,15.772,6.0231,62.8096,6.6713
L7-1081,SD-SS-4,Listeria,L. seeligeri,12,32,2806881,37.19,222865,121.626,PRJNA561882,SRR11343906,JAARUB000000000,L9,MN,44.4448,-96.39,538.51,0.467,0.3527,5.092,7.171,7.6761,3.4094,5450.6278,0.0751,1.0865,307.7514,1039.6523,8.5594,0.0425,36.7436,9.8546,12.2892,0.4031,5.775,-5.5516,-16.4477,3.8219,3.7953,3.7456,0.2936,0.0315,0.8274,0.0069,14.9536,5.9796,64.1399,6.2266
L7-1087,SD-SS-5,Listeria,L. seeligeri,12,31,2806636,37.19,222864,70.9905,PRJNA561882,SRR11344190,JAARUA000000000,L9,MN,44.446,-96.3847,540.84,0.3936,0.2731,4.097,7.643,7.5478,4.2823,5437.3111,0.0884,0.6998,318.4609,639.0671,10.1262,0.0478,33.9073,24.8278,10.9039,1.1433,5.775,-5.5516,-16.4477,3.8219,3.7632,3.7809,0.2913,0.0317,0.9347,0.009,14.343,6.1814,64.9638,5.701
L7-1093,GA-SC-4,Listeria,L. monocytogenes,96,66,3185538,37.75,132930,54.7653,PRJNA514286,SRR9206847,AAFFJU000000000,L1,GA,33.7511,-84.6334,299.47,0.3137,0.2744,6.448,4.049,6.4457,209.4324,128.3133,0.1692,27.387,56.2155,40.4721,18.2774,0.0555,39.2045,7.1831,22.6685,4.0612,145.75,10.5877,-0.1945,3.3072,2.6469,15.9866,29.3672,0.4118,44.774,0.4026,1.4354,2.9773,0.0,1.9981
L7-1101,GA-SC-5,Listeria,L. monocytogenes,96,44,3092232,37.8,156188,81.637,PRJNA514286,SRR9206844,AAFFJS000000000,L1,GA,33.7533,-84.6358,288.3,0.4728,0.4857,10.355,4.21,9.2429,172.2295,408.451,0.2625,30.3379,108.0249,145.8171,83.13,0.0694,67.6726,8.2547,32.1114,7.4505,145.75,10.5877,-0.1945,3.3072,3.2625,16.5099,29.5078,0.4119,43.348,0.4304,1.4269,3.0788,0.0,2.0239
L7-1107,WA-SB-4,Listeria,L. welshimeri,253,74,2888269,36.13,98156,39.207,PRJNA561882,SRR11344189,JAARTZ000000000,L8,WA,47.0357,-117.3009,918.69,0.1583,0.2702,3.7649,6.476,6.3887,10.2088,2987.8659,0.0677,2.0195,363.7268,397.6607,10.3962,0.0386,42.6774,15.7676,10.2711,1.635,41.425,1.3487,-7.8481,3.3408,0.0084,3.237,0.6202,0.0004,1.3972,3.1812,0.6242,4.3501,86.5334,0.0479
L7-1113,MD-AEC-6,Listeria,L. seeligeri,12,33,2834199,37.15,222864,100.366,PRJNA561882,SRR11344188,JAARTY000000000,L9,MD,39.054,-76.6437,33.06,0.3019,0.2502,3.6491,5.306,5.3867,84.7769,1286.3005,0.0984,9.2326,170.2652,237.6206,44.0635,0.0473,49.3631,6.991,16.0764,2.9394,185.725,6.2623,-2.5852,3.7525,3.7151,16.6365,21.4813,0.4292,42.9303,0.8761,0.7115,4.0519,2.6218,6.5463
L7-1117,MD-AEC-7,Listeria,L. seeligeri,12,34,2919453,37.18,222864,88.8699,PRJNA561882,SRR11344186,JAARTX000000000,L9,MD,39.0546,-76.6458,36.1,0.3635,0.2676,3.5264,4.775,5.0831,235.0681,561.3966,0.1468,36.2246,184.3014,266.2394,26.9928,0.0572,35.8457,10.9074,21.0987,4.4684,185.725,6.2623,-2.5852,3.7525,3.598,17.119,21.6911,0.4453,42.0995,0.854,0.7304,4.3397,2.6161,6.5069
L7-1123,IL-LW-2,Listeria,L. seeligeri,12,28,2887371,37.18,184665,107.575,PRJNA561882,SRR11344185,JAARTW000000000,L9,IL,40.2083,-88.3798,214.2,0.2156,0.3288,5.0579,6.722,6.4663,2.8467,3573.5519,0.0583,1.2978,146.6449,590.145,24.3799,0.0391,30.2169,11.4083,9.0019,1.8711,46.15,-0.2381,-9.2484,4.0365,1.1942,8.144,8.3004,0.0535,6.0952,0.016,0.1343,3.6246,69.7383,2.6994
L7-1129,IL-LW-3,Listeria,L. monocytogenes,82,27,2850815,38.04,200086,102.408,PRJNA514286,SRR9206610,AAFFJP000000000,L1,IL,40.21,-88.3756,215.65,0.2794,0.3412,5.2722,7.075,6.9411,2.518,4413.6745,0.1108,2.7554,162.7188,551.569,29.246,0.0428,32.2345,14.1622,9.9747,1.9937,46.15,-0.2381,-9.2484,4.0365,1.1142,8.0958,8.4358,0.043,6.5037,0.016,0.1404,3.6545,69.6586,2.338
L7-1133,IL-LW-4,Listeria,L. seeligeri,24,115,3006157,37.05,238759,77.1201,PRJNA561882,SRR11344184,JAARTV000000000,L9,IL,40.2117,-88.3731,218.11,0.2745,0.3825,5.591,7.231,6.8757,3.2503,4288.0264,0.0744,1.7112,198.2394,557.9243,45.4612,0.0457,33.4033,17.6499,11.6244,2.2997,47.95,-0.401,-9.3194,4.0381,1.0989,7.9234,8.9486,0.0424,6.1328,0.0159,0.1431,3.7323,69.5668,2.3957
L7-1134,IL-LW-4,Listeria,L. seeligeri,12,27,2868123,37.2,291490,99.6635,PRJNA561882,SRR11344183,JAARTU000000000,L9,IL,40.2117,-88.3731,218.11,0.2745,0.3825,5.591,7.231,6.8757,3.2503,4288.0264,0.0744,1.7112,198.2394,557.9243,45.4612,0.0457,33.4033,17.6499,11.6244,2.2997,47.95,-0.401,-9.3194,4.0381,1.0989,7.9234,8.9486,0.0424,6.1328,0.0159,0.1431,3.7323,69.5668,2.3957
L7-1139,MI-MS-1,Listeria,L. monocytogenes,62,29,2920518,37.99,229154,101.793,PRJNA514286,SRR9206611,AAFFJV000000000,L1,MI,42.4308,-83.5442,294.22,0.2095,0.1516,2.2446,6.055,3.2834,14.6997,1293.3873,0.083,3.3754,67.9057,179.6857,25.2597,0.0362,26.5287,8.0943,7.3805,1.8442,44.9,-1.8952,-10.8006,4.4699,1.3669,21.174,32.6546,0.7839,16.073,0.0395,0.4097,8.4649,7.3588,11.6747
L7-1141,MI-MS-1,Listeria,L. monocytogenes,82,10,2902734,38.02,579130,74.0347,PRJNA514286,SRR9206849,AAFFJW000000000,L1,MI,42.4308,-83.5442,294.22,0.2095,0.1516,2.2446,6.055,3.2834,14.6997,1293.3873,0.083,3.3754,67.9057,179.6857,25.2597,0.0362,26.5287,8.0943,7.3805,1.8442,44.9,-1.8952,-10.8006,4.4699,1.3669,21.174,32.6546,0.7839,16.073,0.0395,0.4097,8.4649,7.3588,11.6747
L7-1145,MI-MS-2,Listeria,L. monocytogenes,254,12,2827163,38.07,479744,76.4779,PRJNA514286,SRR9206837,AAFFJT000000000,L1,MI,42.4277,-83.5411,292.42,0.2195,0.1832,2.4046,6.546,3.3855,11.5993,1809.3665,0.099,2.4865,95.7647,195.632,19.0857,0.0355,23.4761,7.0199,12.4737,1.0266,44.9,-1.8952,-10.8006,4.4699,1.2712,21.1354,33.4925,0.6706,16.7297,0.0395,0.4061,8.252,6.8507,11.1523
